Sample,K% Bucket,Players,Total PA,Median Age,Weighted K%,Weighted LD%,Weighted wRC+
All player/league rows,<15%,1466,117433,21.0,0.11929355416986706,0.22576304506396258,112.27635911767617
All player/league rows,15-20%,1392,224461,22.0,0.17685477605603203,0.22354358353885592,108.04807879360733
All player/league rows,20-25%,1844,295279,22.0,0.22410330524862251,0.2233315323720922,104.32124893624953
All player/league rows,25-30%,1649,235566,22.0,0.2725181048431692,0.22246849220625217,95.76418667376822
All player/league rows,30-35%,993,114046,22.0,0.32079160993567507,0.21568165401729128,86.78490668848454
All player/league rows,35%+,985,59340,22.0,0.39543309695240986,0.21368357787704187,68.5194775345306
PA >= 50,<15%,600,106930,22.0,0.12229495885335266,0.22661601633837092,110.64442543753852
PA >= 50,15-20%,1099,217308,22.0,0.1769378020665783,0.22370146721473638,108.05748757807275
PA >= 50,20-25%,1483,286492,22.0,0.2242366274571681,0.22361500501206666,104.28008691447559
PA >= 50,25-30%,1218,226882,22.0,0.27254696224916036,0.22304250523240718,96.22837571194151
PA >= 50,30-35%,649,107020,22.0,0.3205755928731265,0.21622820927811623,87.89914532278831
PA >= 50,35%+,389,49452,22.0,0.38904392090380574,0.21562706173701773,73.21392980153671
