Sample,Method,Score,Count,Mean,Std Dev,P95,P99,Max,wRC+ Corr
2025 training-ish AB>=50,standard_z_15,5 Tool transformed,3579,98.87309123114599,7.874046240010957,111.80114199630886,117.18059229585715,129.28206559210034,0.6200068187358154
2025 training-ish AB>=50,standard_z_15,Hitter transformed,3579,98.21973457902646,10.537660024549044,115.53168083612557,123.00426163625532,141.34314362473478,0.6555660640567952
2026 current AB>=50,standard_z_15,5 Tool transformed,1741,101.08844414733609,8.334075963169214,114.23127987512012,119.94259429444293,125.2747179843002,0.5952750277161429
2026 current AB>=50,standard_z_15,Hitter transformed,1741,101.62705783748932,11.270093752719704,120.22433127594314,127.13259570046733,134.91725948057206,0.6752995283001944
2025 training-ish AB>=50,robust_z_15,5 Tool transformed,3579,99.93103685411168,8.2973042366485,113.60400580378239,119.49884317728583,133.17605421254115,0.6209888455983907
2025 training-ish AB>=50,robust_z_15,Hitter transformed,3579,100.00617557381064,11.027803777920438,118.13104025297928,126.18494004015335,146.76731909065606,0.666120349526863
2026 current AB>=50,robust_z_15,5 Tool transformed,1741,102.15412971652057,8.746136012798965,116.08636342786176,122.45060047233444,129.3906913428632,0.5983587979329615
2026 current AB>=50,robust_z_15,Hitter transformed,1741,103.45972441676416,11.766992347919448,122.61898290535619,130.77046655251985,139.6599443029551,0.6857437937536348
2025 training-ish AB>=50,percentile_100_50,5 Tool transformed,3579,98.27861238064202,14.182801229446774,121.86771605248568,129.12256337481418,143.74281022950862,0.6158865044743119
2025 training-ish AB>=50,percentile_100_50,Hitter transformed,3579,96.8632609833528,18.34095394295836,126.83035073857188,137.38935452189128,148.51935392292728,0.6699656862326908
2026 current AB>=50,percentile_100_50,5 Tool transformed,1741,101.52104550653178,14.510183020550874,124.7465688066377,134.13268281765622,142.4913703295687,0.5771164360833149
2026 current AB>=50,percentile_100_50,Hitter transformed,1741,102.27157699824662,18.81151555634265,132.54741867011933,142.9054342448253,147.3281691146245,0.6819231750232855
2025 training-ish AB>=50,log_plus_50,5 Tool transformed,3579,86.66911503716888,19.68300334868787,108.3536028047571,113.2207390982621,124.4137761523219,0.5227987696299541
2025 training-ish AB>=50,log_plus_50,Hitter transformed,3579,79.69843520904568,31.17236305242088,112.50837863102905,119.371666956326,134.73644578471965,0.49622061850189886
2026 current AB>=50,log_plus_50,5 Tool transformed,1741,92.64898100076809,16.839526588277543,110.52096552196272,116.22751278309114,119.75196174896746,0.5574787029402787
2026 current AB>=50,log_plus_50,Hitter transformed,1741,89.35976875872221,26.709714778856423,116.97670359072514,123.82907648828753,132.74399519193543,0.551582680692207
