,Max,Max,P95,P95,P99,P99
Sample,2025 vs 2025,2026 vs 2025+2026,2025 vs 2025,2026 vs 2025+2026,2025 vs 2025,2026 vs 2025+2026
Metric,,,,,,
5 Tool RobustZ+,150.77951297004748,144.06739693458624,114.9356335227419,118.78940486062433,122.22062750141136,124.5700122950004
Age+,185.15572084427865,171.65052894975707,129.53162086576177,129.09987251130283,145.0683195349499,139.91434650836806
Approach+,372.9028215633376,265.99848775701577,138.2923036549317,143.12300082451023,171.44081452869298,182.93373999636754
HR/FB+,229.66983120741003,305.876158272004,133.69063756017462,149.4750605909092,158.187191919937,175.4751120304743
Hitter RobustZ+,183.5047376553987,167.9979519033901,120.3533536547789,127.8320477070127,132.6943616329036,139.5928417524115
LD%+,197.70749964315146,224.87391876527118,137.31743664071038,143.375705386144,159.71739790883808,169.0092808705438
Speed+,140.8337024634636,144.2770208451096,122.86090883608547,126.72779883030425,129.7855542871397,133.05638337985738
